city,date,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,pressure,wind,hour,day,month,day_of_week,aqi_change_rate
islamabad,2026-04-29 19:00:00+00:00,114.0,40.6,47.7,5.0,83.2,8.0,923.0,21.3,63.0,945.1,2.3,0.0,30.0,4.0,3.0,0.0
islamabad,2026-04-29 20:00:00+00:00,95.0,33.2,38.0,14.0,68.4,5.8,624.0,20.9,64.0,945.0,5.0,1.0,30.0,4.0,3.0,-19.0
islamabad,2026-04-29 21:00:00+00:00,81.0,26.4,30.9,22.0,54.2,4.2,401.0,20.9,61.0,944.3,5.5,2.0,30.0,4.0,3.0,-14.0
islamabad,2026-04-29 22:00:00+00:00,75.0,23.4,27.6,27.0,42.1,3.3,315.0,20.6,62.0,944.3,3.8,3.0,30.0,4.0,3.0,-6.0
islamabad,2026-04-29 23:00:00+00:00,71.0,21.4,25.3,33.0,30.7,2.9,305.0,19.9,64.0,944.1,2.5,4.0,30.0,4.0,3.0,-4.0
islamabad,2026-04-30 00:00:00+00:00,52.0,12.8,16.0,77.0,12.2,3.2,327.0,20.0,66.0,944.1,4.4,5.0,30.0,4.0,3.0,-19.0
islamabad,2026-04-30 01:00:00+00:00,42.0,10.1,13.4,81.0,13.9,3.3,396.0,20.4,67.0,944.6,4.1,6.0,30.0,4.0,3.0,-10.0
islamabad,2026-04-30 02:00:00+00:00,46.0,11.0,14.0,88.0,16.0,3.6,498.0,22.8,61.0,945.7,3.1,7.0,30.0,4.0,3.0,4.0
islamabad,2026-04-30 03:00:00+00:00,42.0,10.2,15.2,98.0,16.3,4.3,545.0,26.0,44.0,946.6,0.7,8.0,30.0,4.0,3.0,-4.0
islamabad,2026-04-30 04:00:00+00:00,38.0,9.1,15.8,115.0,13.1,6.0,480.0,28.2,38.0,947.1,1.2,9.0,30.0,4.0,3.0,-4.0
islamabad,2026-04-30 05:00:00+00:00,37.0,8.9,16.8,136.0,8.0,8.2,361.0,30.0,33.0,947.6,1.9,10.0,30.0,4.0,3.0,-1.0
islamabad,2026-04-30 06:00:00+00:00,40.0,9.7,18.7,151.0,4.4,9.6,272.0,30.2,31.0,947.6,2.7,11.0,30.0,4.0,3.0,3.0
islamabad,2026-04-30 07:00:00+00:00,46.0,11.1,20.8,155.0,3.6,9.6,241.0,31.0,29.0,947.4,5.2,12.0,30.0,4.0,3.0,6.0
islamabad,2026-04-30 08:00:00+00:00,50.0,11.9,22.2,154.0,4.1,8.9,241.0,31.9,28.0,946.8,5.6,13.0,30.0,4.0,3.0,4.0
islamabad,2026-04-30 09:00:00+00:00,56.0,14.3,25.5,152.0,5.0,8.5,275.0,30.8,30.0,946.8,5.4,14.0,30.0,4.0,3.0,6.0
islamabad,2026-04-30 10:00:00+00:00,58.0,15.5,26.7,154.0,4.4,8.9,302.0,25.0,53.0,947.2,13.5,15.0,30.0,4.0,3.0,2.0
islamabad,2026-04-30 11:00:00+00:00,58.0,15.6,26.5,156.0,4.1,9.6,362.0,26.9,44.0,946.5,8.9,16.0,30.0,4.0,3.0,0.0
islamabad,2026-04-30 12:00:00+00:00,49.0,11.8,17.5,163.0,10.2,13.8,580.0,24.2,61.0,946.0,5.9,17.0,30.0,4.0,3.0,-9.0
islamabad,2026-04-30 13:00:00+00:00,51.0,12.1,17.6,137.0,25.5,13.8,1146.0,24.6,58.0,946.1,3.4,18.0,30.0,4.0,3.0,2.0
islamabad,2026-04-30 14:00:00+00:00,59.0,15.7,21.0,100.0,46.9,13.7,1870.0,24.3,60.0,945.4,5.9,19.0,30.0,4.0,3.0,8.0
islamabad,2026-04-30 15:00:00+00:00,80.0,26.1,31.8,67.0,65.3,13.2,2300.0,23.4,66.0,945.4,5.8,20.0,30.0,4.0,3.0,21.0
islamabad,2026-04-30 16:00:00+00:00,113.0,40.5,46.0,40.0,79.6,12.2,2189.0,22.1,74.0,945.5,4.1,21.0,30.0,4.0,3.0,33.0
islamabad,2026-04-30 17:00:00+00:00,127.0,46.1,51.0,16.0,90.8,10.8,1785.0,20.7,80.0,945.5,3.2,22.0,30.0,4.0,3.0,14.0
islamabad,2026-04-30 18:00:00+00:00,117.0,41.8,45.2,3.0,93.1,9.2,1379.0,21.4,70.0,946.0,4.2,23.0,30.0,4.0,3.0,-10.0
islamabad,2026-04-30 19:00:00+00:00,91.0,31.2,34.1,9.0,80.4,7.2,1036.0,22.2,62.0,946.0,3.6,0.0,1.0,5.0,4.0,-26.0
islamabad,2026-04-30 20:00:00+00:00,74.0,23.0,25.7,25.0,58.8,4.9,691.0,22.0,59.0,945.8,4.1,1.0,1.0,5.0,4.0,-17.0
islamabad,2026-04-30 21:00:00+00:00,63.0,18.0,20.5,38.0,40.8,3.2,441.0,21.7,59.0,945.4,5.2,2.0,1.0,5.0,4.0,-11.0
islamabad,2026-04-30 22:00:00+00:00,58.0,15.5,17.8,40.0,30.7,2.3,330.0,21.6,59.0,945.3,3.7,3.0,1.0,5.0,4.0,-5.0
islamabad,2026-04-30 23:00:00+00:00,55.0,14.0,16.0,39.0,24.2,2.0,313.0,21.5,58.0,945.2,3.6,4.0,1.0,5.0,4.0,-3.0
islamabad,2026-05-01 00:00:00+00:00,52.0,12.5,14.4,41.0,24.3,2.5,352.0,20.6,58.0,945.0,5.6,5.0,1.0,5.0,4.0,-3.0
islamabad,2026-05-01 01:00:00+00:00,52.0,12.5,14.2,54.0,24.6,3.1,480.0,20.4,59.0,945.4,4.6,6.0,1.0,5.0,4.0,0.0
islamabad,2026-05-01 02:00:00+00:00,58.0,15.2,16.9,72.0,24.9,4.1,664.0,22.5,56.0,946.3,2.4,7.0,1.0,5.0,4.0,6.0
islamabad,2026-05-01 03:00:00+00:00,54.0,13.5,17.5,92.0,23.2,5.9,772.0,25.9,40.0,947.4,0.8,8.0,1.0,5.0,4.0,-4.0
islamabad,2026-05-01 04:00:00+00:00,45.0,10.9,16.9,116.0,17.8,9.4,731.0,28.2,33.0,947.8,0.6,9.0,1.0,5.0,4.0,-9.0
islamabad,2026-05-01 05:00:00+00:00,47.0,11.2,17.5,142.0,10.6,13.7,614.0,30.3,28.0,948.2,1.8,10.0,1.0,5.0,4.0,2.0
islamabad,2026-05-01 06:00:00+00:00,51.0,12.3,18.7,162.0,5.2,16.4,504.0,30.4,28.0,948.1,3.1,11.0,1.0,5.0,4.0,4.0
islamabad,2026-05-01 07:00:00+00:00,54.0,13.5,20.3,171.0,3.3,16.0,424.0,31.8,27.0,947.9,3.0,12.0,1.0,5.0,4.0,3.0
islamabad,2026-05-01 08:00:00+00:00,55.0,14.0,21.1,174.0,3.2,14.1,351.0,32.7,25.0,947.1,4.4,13.0,1.0,5.0,4.0,1.0
islamabad,2026-05-01 09:00:00+00:00,55.0,14.0,22.3,173.0,3.7,12.2,305.0,33.2,22.0,946.2,9.0,14.0,1.0,5.0,4.0,0.0
islamabad,2026-05-01 10:00:00+00:00,54.0,13.6,22.6,171.0,3.0,11.0,243.0,32.6,22.0,945.5,13.2,15.0,1.0,5.0,4.0,-1.0
islamabad,2026-05-01 11:00:00+00:00,52.0,12.7,22.2,165.0,2.9,9.8,208.0,32.4,23.0,945.0,12.4,16.0,1.0,5.0,4.0,-2.0
islamabad,2026-05-01 12:00:00+00:00,48.0,11.6,19.9,162.0,7.7,11.9,350.0,32.2,20.0,944.7,10.1,17.0,1.0,5.0,4.0,-4.0
islamabad,2026-05-01 13:00:00+00:00,48.0,11.6,20.3,137.0,20.2,12.0,877.0,30.9,22.0,944.6,8.7,18.0,1.0,5.0,4.0,0.0
islamabad,2026-05-01 14:00:00+00:00,61.0,16.8,24.0,102.0,37.9,12.2,1581.0,28.8,28.0,944.5,8.7,19.0,1.0,5.0,4.0,13.0
islamabad,2026-05-01 15:00:00+00:00,73.0,22.5,30.7,70.0,54.6,12.1,1991.0,27.0,33.0,944.5,8.8,20.0,1.0,5.0,4.0,12.0
islamabad,2026-05-01 16:00:00+00:00,91.0,31.1,39.6,43.0,71.1,11.8,1839.0,24.9,41.0,944.4,7.7,21.0,1.0,5.0,4.0,18.0
islamabad,2026-05-01 17:00:00+00:00,118.0,42.3,50.1,19.0,86.6,11.3,1392.0,23.3,48.0,944.4,7.4,22.0,1.0,5.0,4.0,27.0
islamabad,2026-05-01 18:00:00+00:00,122.0,43.9,49.5,6.0,92.8,10.4,986.0,25.1,39.0,944.8,5.8,23.0,1.0,5.0,4.0,4.0
islamabad,2026-05-01 19:00:00+00:00,101.0,35.6,39.2,10.0,83.3,8.6,720.0,24.5,40.0,944.8,5.6,0.0,2.0,5.0,5.0,-21.0
islamabad,2026-05-01 20:00:00+00:00,82.0,27.0,29.8,25.0,64.5,6.3,494.0,23.5,44.0,944.6,5.5,1.0,2.0,5.0,5.0,-19.0
islamabad,2026-05-01 21:00:00+00:00,69.0,20.5,22.8,38.0,47.7,4.5,340.0,23.1,45.0,944.1,3.1,2.0,2.0,5.0,5.0,-13.0
islamabad,2026-05-01 22:00:00+00:00,58.0,15.5,17.5,44.0,35.8,3.3,268.0,23.5,43.0,944.1,5.3,3.0,2.0,5.0,5.0,-11.0
islamabad,2026-05-01 23:00:00+00:00,51.0,12.3,14.2,49.0,26.0,2.6,268.0,23.6,42.0,943.9,4.8,4.0,2.0,5.0,5.0,-7.0
islamabad,2026-05-02 00:00:00+00:00,43.0,10.4,12.7,74.0,14.1,3.4,339.0,22.7,49.0,943.5,1.8,5.0,2.0,5.0,5.0,-8.0
islamabad,2026-05-02 01:00:00+00:00,41.0,9.9,12.0,80.0,17.9,4.3,551.0,23.0,46.0,943.8,2.7,6.0,2.0,5.0,5.0,-2.0
islamabad,2026-05-02 02:00:00+00:00,50.0,11.9,14.5,89.0,22.9,5.6,834.0,24.4,45.0,944.5,1.5,7.0,2.0,5.0,5.0,9.0
islamabad,2026-05-02 03:00:00+00:00,53.0,12.9,17.8,102.0,24.5,7.3,976.0,27.5,35.0,945.7,4.1,8.0,2.0,5.0,5.0,3.0
islamabad,2026-05-02 04:00:00+00:00,51.0,12.2,21.4,125.0,19.4,9.9,837.0,29.9,31.0,946.3,4.1,9.0,2.0,5.0,5.0,-2.0
islamabad,2026-05-02 05:00:00+00:00,52.0,12.6,23.3,153.0,10.9,12.9,557.0,32.0,26.0,946.5,4.1,10.0,2.0,5.0,5.0,1.0
islamabad,2026-05-02 06:00:00+00:00,53.0,12.9,24.3,172.0,4.5,14.6,345.0,32.2,24.0,946.3,1.7,11.0,2.0,5.0,5.0,1.0
islamabad,2026-05-02 07:00:00+00:00,54.0,13.6,25.8,177.0,2.6,14.0,290.0,33.7,21.0,946.1,4.2,12.0,2.0,5.0,5.0,1.0
islamabad,2026-05-02 08:00:00+00:00,55.0,14.2,27.4,173.0,2.9,12.1,303.0,34.3,21.0,945.2,5.6,13.0,2.0,5.0,5.0,1.0
islamabad,2026-05-02 09:00:00+00:00,56.0,14.7,28.8,168.0,3.9,10.6,326.0,34.8,21.0,944.5,9.1,14.0,2.0,5.0,5.0,1.0
islamabad,2026-05-02 10:00:00+00:00,57.0,14.9,31.3,166.0,4.3,10.3,281.0,33.6,22.0,943.8,8.0,15.0,2.0,5.0,5.0,1.0
islamabad,2026-05-02 11:00:00+00:00,56.0,14.6,31.4,163.0,5.4,10.5,245.0,33.7,21.0,943.1,7.8,16.0,2.0,5.0,5.0,-1.0
islamabad,2026-05-02 12:00:00+00:00,49.0,11.7,23.1,161.0,7.9,11.2,393.0,32.9,20.0,942.1,15.1,17.0,2.0,5.0,5.0,-7.0
islamabad,2026-05-02 13:00:00+00:00,51.0,12.3,23.4,128.0,26.5,11.4,945.0,30.5,26.0,942.9,5.0,18.0,2.0,5.0,5.0,2.0
islamabad,2026-05-02 14:00:00+00:00,64.0,18.2,28.3,83.0,51.7,11.5,1680.0,27.7,33.0,943.6,5.6,19.0,2.0,5.0,5.0,13.0
